sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
781,板橋區,中山國中,25.01856,121.46751,34.0,5.0,2.3,3.4,0.0,18.4
782,板橋區,中山國小地下停車場,25.0008,121.44859,18.0,6.4,6.4,1.0,0.0,2.0
783,板橋區,中山路二段295巷口,25.01851,121.47835,20.0,0.9,3.3,0.0,1.3,4.5
784,板橋區,中山路二段416巷38弄口,25.01936,121.48153,14.0,3.6,3.4,0.7,0.0,6.1
785,板橋區,中山路二段443巷口,25.02051,121.48102,23.0,2.6,4.1,0.0,0.0,4.1
786,板橋區,中山路二段565巷,25.02263,121.48402,15.0,4.0,5.1,0.0,0.0,2.8
787,板橋區,中山路二段90巷,25.01634,121.47523,13.0,12.4,7.9,6.5,0.0,3.8
788,板橋區,中正新月二街口(富江翠社區),25.02586,121.45437,40.0,1.8,4.5,0.0,2.4,10.7
789,板橋區,中正新月二街口(青翠社區),25.0269,121.45472,40.0,1.7,8.0,0.0,6.0,1.0
790,板橋區,中正路145巷口,25.01587,121.4566,18.0,16.5,9.3,9.7,0.0,3.5
791,板橋區,中華電信學院,25.00801,121.46684,9.0,4.2,2.6,2.2,0.0,25.0
792,板橋區,中華電信板橋雲端資料中心,24.9953,121.45825,45.0,2.3,6.5,0.0,3.8,7.2
793,板橋區,五權公園地下停車場,24.99265,121.46463,25.0,4.3,8.0,0.0,0.0,1.6
794,板橋區,亞東醫院,24.99837,121.45318,61.0,37.3,34.5,8.4,0.0,9.0
795,板橋區,仁化文新路口,25.03486,121.47928,36.0,2.0,6.7,0.0,4.5,0.6
796,板橋區,仁愛路62巷(14&24弄口),24.99821,121.45998,29.0,1.1,7.4,0.0,5.4,0.1
797,板橋區,介壽街/文化路一段188巷9弄口,25.01979,121.46856,16.0,2.9,2.2,0.0,0.0,13.8
798,板橋區,信義公園市民活動中心,24.99181,121.45713,49.0,1.9,8.6,0.0,6.4,0.4
799,板橋區,信義和平路口,24.99455,121.45721,15.0,2.6,2.5,0.0,0.0,13.4
800,板橋區,信義路163巷口,24.99271,121.45848,17.0,5.7,6.3,0.2,0.0,3.5
801,板橋區,健華新城社區,25.01927,121.4653,72.0,10.5,4.8,7.3,0.0,9.5
802,板橋區,僑中二街92巷口,25.00879,121.44632,21.0,7.5,1.6,7.1,0.0,9.2
803,板橋區,光復光榮巷口,25.02139,121.48473,13.0,3.8,4.9,0.0,0.0,2.4
804,板橋區,光復國小,25.01501,121.48169,38.0,5.6,5.5,1.0,0.0,3.1
805,板橋區,光復街/中山路二段412巷口,25.01902,121.48399,15.0,2.3,3.3,0.0,0.0,10.5
806,板橋區,光復高中,25.01735,121.48258,37.0,3.8,3.4,1.0,0.0,24.6
